accession,name,description,Study Disease/Focus,Study Design,Study Markerset,Parent study,Study Molecular Data Type,Study Content,Ancestry (computed),NIH Institute,Study Consent,Release Date,Embargo Release Date,Related Terms
"phs000631.v1.p1","ARDSnet and the iSPAAR Consortium: Genetic Studies","Acute Respiratory Distress Syndrome (ARDS)/ Acute Lung Injury (ALI) is a syndrome defined by the presence of acute hypoxemic respiratory failure, bilateral pulmonary infiltrates on chest radiograph, a known  clinical risk factor (e.g. sepsis, pneumonia, trauma, gastric fluid aspiration, pancreatitis, massive transfusion), and the absence of physiologic or","Respiration Disorders","Clinical Trial","Human660W-Quad_v1_A, exome_vcf_grc37, LUNG_GO_Exome, exome_vcf_ESP6800","Not Applicable","Not Provided","3 phenotype datasets, 22 variables, 4 molecular datasets, 3033 subjects, 3772 samples, 2 sub-studies","","NHLBI","HMB --- Health/medical/biomedical","2014-01-15","2015-01-15","Pyaemia; Pyaemias; Pyemia; Pyemias; Pyohemia; Pyohemias"
"phs000640.v7.p1","HeLa Cell Genome Sequencing Studies","This study contains all authorized whole genome sequence data of the HeLa cell line from datasets currently in dbGaP. These data have been approved for health, medical, and/or biomedical  research purposes. Access to these data can be granted for one year. Accessible data will include the studies listed on this page and any additional","Uterine Cervical Neoplasms","Case Set","whole_genome_vcf_grc37","Not Applicable","Not Provided","2 phenotype datasets, 11 variables, 2 molecular datasets,  SRA, 1 subjects, 137 samples, 11 sub-studies","","OD","HMB --- Health/medical/biomedical","2018-10-26","2018-10-26","Cervical Neoplasm, Uterine; Cervical Neoplasms; Cervical Neoplasms, Uterine; Cervical Tumor; Cervix Neoplasm; Cervix Neoplasms"
"phs000653.v3.p1","Epi4K: Gene Discovery in 4,000 Epilepsy Genomes","The Epi4K project began in 2011 as an international, multi-center study that seeks to identify and characterize the genetic bases of complex epilepsies. The Center without Walls Epi4K project  includes three cores and four scientific projects, as well as a steering committee comprised of the primary study investigators and representatives","Epilepsy","Family/Twin/Trios","exome_vcf_grc37","Not Applicable","Not Provided","4 phenotype datasets, 24 variables, 2 molecular datasets,  SRA, 2186 subjects, 2186 samples, 3 sub-studies","","NINDS","GRU --- General research use , DS-ESD-GSO --- Disease-specific (epilepsy and seizure disorders, gso)","2018-09-19","2018-09-19","EP - Epilepsy; Epilepsies; Epileptic; Epileptic disorder; Seizure Disorder; Seizure Disorders"
"phs000684.v1.p1","Age related Macular Degeneration - MMAP Cohort: Association and    Sequencing Studies","Age-related Macular Degeneration (AMD) is a leading cause of incurable blindness in people over the age of 65. AMD is a late-onset multi-factorial neurodegenerative disease and its pathogenesis involves  interaction of genetic and environmental factors. Several chromosomal regions have been associated with AMD susceptibility through linkage analysis","Macular Degeneration","Case-Control","HumanCNV370-Duo_v1, HumanMethylation450","Not Applicable","Not Provided","2 phenotype datasets, 13 variables, 2 analyses, 2 molecular datasets, 5653 subjects, 7229 samples, 4 sub-studies","","NEI","GRU --- General research use , DS-ED --- Disease-specific (eye disease)","2014-05-08","2015-05-08",""
"phs000700.v1.p1","RoadmapEpigenomics_Broad","For the NIH Roadmap Epigenomics project, we applied ChlP-Seq, HTBS and WGBS pipelines to generate comprehensive high-resolution maps of chromatin state and DNA methylation for 100 diverse cell types.  Cell types were selected for their biological and medical importance, and for their potential to maximize the comprehensiveness of acquired","Nervous System Diseases","Cross-Sectional","Not Provided","Not Applicable","Not Provided","2 phenotype datasets, 10 variables,  SRA, 3 subjects, 19 samples, 1 sub-studies","","NIDA","AARC --- Alzheimer's and age related conditions","2014-07-23","2015-04-23","Disease, Nervous System; Diseases, Nervous System; Disorder, Nervous System; Disorder, Neurologic; Disorder, Neurological; Disorders, Nervous System"
"phs000703.v1.p1","CATHeterization GENetics (CATHGEN)","The CATHGEN biorepository consists of biological samples collected on 9334 sequential consenting individuals undergoing cardiac catheterization at Duke University Medical Center between 2001 and 2010 inclusive. The Institutional Review  Board informed consent allowed for 50 mL of blood to be collected from fasting patients through the femoral arterial sheath during the","Coronary Disease","Cross-Sectional","HumanHT-12_v3, HumanOmni1-Quad_v1-0_C","Not Applicable","Not Provided","2 phenotype datasets, 7 variables, 3 molecular datasets, 3304 subjects, 3306 samples, 2 sub-studies","","NHLBI","DS-CVD-IRB --- Disease-specific (cardiovascular disease, irb)","2014-07-30","2014-07-30","CHD - Coronary heart disease; Coronary Diseases; Coronary Heart Disease; Coronary Heart Diseases; Disease, Coronary; Disease, Coronary Heart"
"phs000725.v1.p1","Rare Cancer Tumors Project","A large proportion of common cancers affecting patients around the world have been selected for comprehensive cancer genome studies. Further efforts will be needed to tackle the remaining tumor  types, including the rare forms of cancers. Although rare, these cancers tend to be more aggressive and fast growing with an early recurrence","Neoplasms","Prospective Longitudinal Cohort","exome_vcf_grc37","Not Applicable","Not Provided","2 phenotype datasets, 11 variables, 1 molecular datasets,  SRA, 99 subjects, 248 samples, 3 sub-studies","","NHGRI","GRU --- General research use","2016-01-20","2016-01-20","BT - Brain tumor; Brain Tumor; Brain Tumors; Brain neoplasm; Brain tumour; Neoplasm of Brain"
"phs000743.v1.p1","METSIM (METabolic Syndrome In Men) Study","The METSIM Study includes 10,197 men, aged from 45 to 73 years, randomly selected from the population register of the town of Kuopio, Eastern Finland, and examined in 2005-2010.  The aim of the study is to investigate genetic and non-genetic factors associated with the risk of type 2 diabetes (T2D), cardiovascular disease (CVD","Metabolic Syndrome X","Prospective Longitudinal Cohort","WES_markerset_grc37","Not Applicable","Not Provided","3 phenotype datasets, 36 variables, 1 molecular datasets, 982 subjects, 982 samples, 1 sub-studies","","NIDDK","DS-T2D-IRB-RD --- Disease-specific (type 2 diabetes, irb, rd)","2016-07-08","2017-01-19","Adult-Onset Diabetes; Adult-Onset Diabetes Mellitus; DIABETES MELLITUS, TYPE 2; DIABETES MELLITUS, TYPE 2, PROTECTION AGAINST; DIABETES MELLITUS, TYPE II; DIABETES MELLITUS, TYPE II, SUSCEPTIBILITY TO"
"phs000755.v2.p1","BrainSpan Atlas of the Human Brain","The NIH-funded BrainSpan (www.brainspan.org) and PsychENCODE (www.psychencode.org). Consortia sought to generate and analyze multi-dimensional genomics data from the developing and adult human brain in healthy and disease states. One  of the main goals has been to perform large-scale and integrated analysis of the genome, transcriptome, and epigenome of the human brain to broaden","Brain Diseases","Control Set","HumanOmni2.5-4v1_B, HumanMethylation450","Not Applicable","Not Provided","3 phenotype datasets, 12 variables, 2 molecular datasets, 61 subjects, 1279 samples, 2 sub-studies","","NIMH","GRU --- General research use","2019-01-08","2018-05-23","Aging, Biological; Biological Aging; Brain Disease; Brain Disorders; CNS Disorder, Intracranial; CNS Disorders, Intracranial"
"phs000761.v1.p1","Orofacial Pain: Prospective Evaluation and Risk Assessment (OPPERA)","The OPPERA project has two sub-studies investigating effects of genetic, physiological, psychological and clinical factors on the risk of developing painful temporomandibular disorder (TMD). 1. OPPERA I baseline case-control  study of chronic TMJD (dbGaP study accession phs000762). This sub-study uses a case-control study design to investigate characteristics associated","Temporomandibular Joint Disorders","Case-Control","targeted_region_sequencing","Not Applicable","Not Provided","3 phenotype datasets, 21 variables, 1 documents, 2 molecular datasets, 3446 subjects, 3035 samples, 2 sub-studies","","NIDCR","DS-TMJD-RD --- Disease-specific (temporomandibular joint disorder, rd)","2015-03-27","2015-03-27","Amplified Musculoskeletal Pain Syndrome; Chronic Pain, Widespread; Chronic Pains, Widespread; Chronic Widespread Pain; Pain, Widespread Chronic; Pains, Widespread Chronic"
"phs000788.v2.p3","Research Program on Genes, Environment and Health (RPGEH)","The Kaiser Permanente Research Program on Genes, Environment, and Health (RPGEH) is a resource developed to facilitate research on genetic and environmental factors on common diseases and healthy aging.  The RPGEH resource links biospecimens, health surveys, and comprehensive electronic medical records on broadly consented adult members of Kaiser","Aging","Prospective Longitudinal Cohort","Axiom_KP_UCSF_EUR, Axiom_KP_UCSF_AFR, Axiom_KP_UCSF_EAS, Axiom_KP_UCSF_LAT, WGS_markerset_grc37, Axiom_KP_UCSF_EUR, Axiom_KP_UCSF_AFR, Axiom_KP_UCSF_EAS, Axiom_KP_UCSF_LAT","Not Applicable","Not Provided","3 phenotype datasets, 12 variables, 3 molecular datasets, 78423 subjects, 78423 samples, 2 sub-studies","","NIA","HMB-IRB-NPU --- Health/medical/biomedical (irb, npu)","2018-05-15","2018-05-15","Aging, Biological; Biological Aging; Anxiety State, Neurotic; Anxiety States, Neurotic; Neurotic Anxiety State; Neurotic Anxiety States"
"phs000801.v2.p1","NCI Non-Hodgkin Lymphoma GWAS","Within the framework of the International Lymphoma Epidemiology Consortium (InterLymph) Consortium and NCI-sponsored Cohort Consortium, investigators from 22 studies came together to conduct a genome-wide association study (GWAS) of  non-Hodgkin lymphoma (NHL). The goal of the study was to identify common genetic variants associated with the risk of NHL. As described previously","Lymphoma, Non-Hodgkin","Prospective Longitudinal Cohort","HumanOmniExpressExome-8v1_A, HumanOmniExpress, HumanOmniExpress-12v1_A","Not Applicable","Not Provided","2 phenotype datasets, 7 variables, 5 molecular datasets, 10491 subjects, 10791 samples, 5 sub-studies","","NCI","DS-CA-IRB-NPU-GSO --- Disease-specific (cancer, irb, npu, gso) , DS-NHL-NPU-GSO --- Disease-specific (non-hodgkin lymphoma, npu, gso) , GRU-NPU-MDS --- General research use (npu, mds)","2016-09-22","2016-09-22","B Cell CLL; B Cell Chronic Lymphocytic Leukemia; B Cell Leukemia, Chronic; B Cell Lymphocytic Leukemia; B Lymphocytic Leukemia, Chronic; B-CLL"
"phs000810.v1.p1","Hispanic Community Health Study /Study of Latinos (HCHS/SOL)","The Hispanic Community Health Study / Study of Latinos (HCHS/SOL) is a multi-center epidemiologic study in Hispanic/Latino populations to determine the role of acculturation in the prevalence and development  of disease, and to identify risk factors playing a protective or harmful role in Hispanics/Latinos. The study is sponsored by the National Heart","Cardiovascular Diseases","Prospective Longitudinal Cohort","Cardio-Metabo_Chip, SoL_HCHS_Custom_15041502_B3_RefStrand","Not Applicable","Not Provided","3 phenotype datasets, 282 variables, 2 molecular datasets, 12895 subjects, 25746 samples, 2 sub-studies","","NHLBI","HMB-NPU --- Health/medical/biomedical (npu) , HMB --- Health/medical/biomedical","2015-12-07","2016-12-17","Airway hyperreactivity; Asthma, Bronchial; Asthmas; Asthmatic; Bronchial Asthma; Reactive airway disease"
"phs000833.v7.p1","Single Cell Analysis Program - Transcriptome (SCAP-T)","This initiative is part of the Single Cell Analysis Program (SCAP) and is funded through the NIH Common Fund (See http://nihroadmap.nih.gov/), which supports cross-cutting programs that are expected to  have exceptionally high impact. Common Fund initiatives address key roadblocks in biomedical research that impede basic scientific discovery and its","Not Provided","Case Set","RNAseq_probe_set_grc38","Not Applicable","Not Provided","3 phenotype datasets, 22 variables, 1 documents, 16 molecular datasets, 215 subjects, 9269 samples, 3 sub-studies","","NIMH","GRU --- General research use , GRU-NPU --- General research use (npu)","2017-11-27","2017-11-27",""
"phs000842.v2.p1","PediGFR","The Pediatric Investigation for Genetic Factors Associated with Renal Progression (PediGFR) (RO1-DK082394) is an international collaborative study among three large prospective cohort studies of children with chronic kidney disease.  The participating parent cohort studies are the Chronic Kidney Disease in Children (CKiD), the Effect of Strict Blood Pressure Control and ACE","Kidney Diseases","Prospective Longitudinal Cohort","HumanOmni2.5-8v1_A, HumanOmni2.5-8v1_C, HumanOmni2_5-4v1_H","Not Applicable","Not Provided","2 phenotype datasets, 8 variables, 4 molecular datasets, 1828 subjects, 1580 samples, 3 sub-studies","","NIDDK","DS-CKD-COMP-IRB --- Disease-specific (chronic kidney disease and related complications, irb)","2019-03-29","2019-03-29","Failure, Kidney; Failures, Kidney; Failures, Renal; Kidney Failures; RF - Renal failure; Renal Failure"
"phs000847.v2.p1","T2D-GENES: San Antonio Mexican American Family Studies (SAMAFS)","The Type 2 Diabetes (T2D) Genetic Exploration by Next-generation sequencing in Ethnic Samples (T2D-GENES) Consortium is a collaborative international effort to identify genes influencing susceptibility to type 2 diabetes  in multiple ethnic groups using next generation sequencing. To fulfill this objective, T2D-GENES Consortium undertook two large sequencing studies","Diabetes Mellitus, Type 2","Prospective Longitudinal Cohort","Sentrix_Human-6_Expression_BeadChip, WGS_markerset_grc37, WES_markerset_grc37","Not Applicable","Not Provided","3 phenotype datasets, 14 variables, 3 molecular datasets, 1539 subjects, 2142 samples, 2 sub-studies","","NIDDK","DS-DIAB-IRB-RD --- Disease-specific (diabetes, irb, rd)","2016-12-13","2016-12-13","Adult-Onset Diabetes; Adult-Onset Diabetes Mellitus; DIABETES MELLITUS, TYPE 2; DIABETES MELLITUS, TYPE 2, PROTECTION AGAINST; DIABETES MELLITUS, TYPE II; DIABETES MELLITUS, TYPE II, SUSCEPTIBILITY TO"
"phs000867.v1.p1","The Finland-United States Investigation of NIDDM Genetics (FUSION) Study","The Finland-United States Investigation of NIDDM Genetics (FUSION) study is a long-term effort to identify genetic variants that predispose to type 2 diabetes (T2D) or that impact the variability  of T2D-related quantitative traits. The initial effort involved linkage analysis of affected-sibling-pair (ASP) families based on over 5,000","Diabetes Mellitus, Type 2","Case-Control","HumanHap300v1-1_C","Not Applicable","Not Provided","3 phenotype datasets, 28 variables, 1 molecular datasets,  SRA, 1850 subjects, 3928 samples, 2 sub-studies","","NIDDK","GRU-IRB --- General research use (irb)","2015-04-24","2015-04-24","Adult-Onset Diabetes; Adult-Onset Diabetes Mellitus; DIABETES MELLITUS, TYPE 2; DIABETES MELLITUS, TYPE 2, PROTECTION AGAINST; DIABETES MELLITUS, TYPE II; DIABETES MELLITUS, TYPE II, SUSCEPTIBILITY TO"
"phs000876.v1.p1","Transdisciplinary Research Into Cancer of the Lung (TRICL)","The study was conducted under the auspices of the Transdisciplinary Research In Cancer of the Lung (TRICL) Research Team, which is a part of the Genetic Associations and MEchanisms  in ONcology (GAME-ON) consortium, and associated with the International Lung Cancer Consortium (ILCCO). Ethics All participants provided written","Lung Neoplasms","Case-Control","WES_markerset_grc37","Not Applicable","Not Provided","2 phenotype datasets, 11 variables, 1 molecular datasets, 1942 subjects, 2030 samples, 2 sub-studies","","NCI","DS-CA-MDS --- Disease-specific (cancer, mds) , DS-CA --- Disease-specific (cancer) , HMB-MDS --- Health/medical/biomedical (mds) , LCRF --- Lung cancer risk factors , DS-LCS-RD --- Disease-specific (lung cancer or smoking, rd)","2017-02-07","2017-02-07","Adenocarcinoma, no subtype; Adenocarcinomas; Adenoma, Malignant; Adenomas, Malignant; Malignant Adenoma; Malignant Adenomas"
"phs000991.v1.p1","VESPA: Vanderbilt Electronic Systems for Pharmacogenomic Assessment","The Vanderbilt Electronic Systems for Pharmacogenomic Assessment (VESPA) Project is a large electronic medical record (EMR)- and biobank-based initiative for translational pharmacogenomics discoveries. Key research resources utilized in this  effort include the BioVU DNA databank and associated Synthetic Derivative database of clinical information, and software tools developed to identify","Dose-Response Relationship, Drug","Cross-Sectional","HumanOmni1-Quad_v1-0_H, HumanOmni5-4v1_B","Not Applicable","Not Provided","2 phenotype datasets, 7 variables, 2 molecular datasets, 2252 subjects, 2252 samples, 2 sub-studies","","NIGMS","HMB --- Health/medical/biomedical","2016-10-26","2017-10-26","Dose Response Relationship, Drug; Dose-Response Relationships, Drug; Drug Dose-Response Relationship; Drug Dose-Response Relationships; Relationship, Drug Dose-Response; Relationships, Drug Dose-Response"
